X;Y;Z
4.257;2.143;1.448
4.227;2.282;1.143
4.204;2.176;1.317
4.245;2.225;1.286
4.147;2.066;1.556
4.260;2.143;1.446
4.260;2.098;1.416
4.298;2.312;1.190
4.223;2.217;1.299
4.269;2.304;1.127
4.216;2.137;1.335
4.281;2.315;1.063
4.256;2.227;1.263
4.326;2.452;0.897
4.229;2.342;1.038
4.260;2.330;1.272
4.276;2.449;1.304
4.202;2.604;1.292
4.167;2.790;1.205
4.126;2.986;1.082
4.085;2.947;1.268
4.070;3.100;1.172
4.021;3.225;1.240
3.943;3.358;1.145
3.800;3.475;1.100
3.714;3.602;1.205
3.734;3.663;1.165
3.664;3.611;1.219
3.481;3.827;1.201
3.368;3.923;1.213
3.296;4.017;1.122
3.170;4.044;1.211
3.072;4.079;1.263
2.987;4.094;1.260
2.795;4.203;1.256
2.669;4.208;1.219
2.628;4.220;1.118
2.446;4.254;1.182
2.318;4.304;1.171
2.244;4.234;1.193
2.096;4.200;1.222
2.001;4.203;1.165
1.789;4.229;1.158
1.693;4.178;1.104
1.615;4.150;1.092
1.492;4.094;1.141
1.305;4.043;1.206
1.244;3.953;1.132
1.138;3.885;1.208
1.014;3.810;1.287
0.885;3.671;1.328
0.883;3.641;1.282
0.773;3.623;1.160
0.643;3.492;1.211
0.584;3.374;1.190
0.503;3.295;1.029
0.473;3.071;1.212
0.443;3.065;1.100
0.311;3.020;0.933
0.377;2.694;1.235
0.265;2.781;1.144
0.261;2.462;1.262
0.243;2.351;1.162
0.240;2.288;1.260
0.281;2.076;1.335
0.253;2.088;0.987
0.345;1.909;1.247
0.289;1.730;1.120
0.355;1.633;1.053
0.501;1.363;1.315
0.482;1.280;1.181
0.461;1.340;1.124
0.635;1.127;1.252
0.718;1.007;1.172
0.846;0.867;1.190
0.886;0.776;1.230
0.824;0.764;1.254
0.973;0.662;1.283
1.058;0.628;1.349
1.278;0.479;1.146
1.332;0.502;1.178
1.508;0.414;1.018
1.555;0.407;1.209
1.677;0.329;1.229
1.987;0.300;0.879
2.018;0.279;1.086
2.091;0.257;1.349
2.402;0.211;0.982
2.438;0.258;0.961
2.538;0.269;1.137
2.614;0.287;1.348
2.879;0.371;0.975
2.929;0.408;0.981
3.065;0.455;0.876
3.079;0.431;1.179
3.152;0.528;1.171
3.389;0.636;1.000
3.348;0.603;1.231
3.533;0.685;1.167
3.593;0.715;1.377
3.727;0.938;1.103
3.832;1.044;0.972
3.888;1.046;1.290
3.935;1.166;1.178
3.959;1.154;1.431
3.970;1.277;1.445
4.083;1.556;1.195
4.183;1.660;1.161
4.182;1.791;1.145
4.186;1.797;1.338
4.241;1.973;1.256
4.246;2.026;1.281
4.281;2.275;1.110
4.248;2.307;1.043
4.230;2.242;1.279
4.234;2.211;1.254
4.286;2.315;1.122
4.257;2.336;1.056
4.265;2.457;0.919
4.210;2.240;1.392
