X;Y;Z
4.251;2.249;1.203
4.248;2.249;1.201
4.246;2.370;1.198
4.235;2.506;1.203
4.213;2.629;1.202
4.187;2.751;1.205
4.150;2.872;1.198
4.109;2.994;1.206
4.058;3.109;1.203
3.997;3.223;1.198
3.933;3.330;1.201
3.860;3.439;1.204
3.784;3.533;1.199
3.700;3.629;1.202
3.609;3.717;1.200
3.511;3.802;1.200
3.413;3.880;1.201
3.305;3.950;1.198
3.194;4.014;1.201
3.079;4.068;1.199
2.964;4.120;1.202
2.845;4.160;1.200
2.722;4.192;1.197
2.599;4.219;1.199
2.471;4.237;1.195
2.345;4.248;1.198
2.220;4.249;1.202
2.093;4.244;1.199
1.967;4.232;1.203
1.840;4.208;1.199
1.716;4.179;1.199
1.595;4.142;1.198
1.476;4.093;1.197
1.359;4.039;1.196
1.248;3.983;1.198
1.141;3.917;1.199
1.040;3.845;1.204
0.941;3.766;1.201
0.845;3.677;1.197
0.759;3.583;1.198
0.678;3.486;1.201
0.601;3.382;1.198
0.534;3.280;1.203
0.472;3.169;1.201
0.418;3.055;1.201
0.370;2.936;1.197
0.330;2.814;1.202
0.300;2.690;1.199
0.274;2.563;1.200
0.240;2.433;1.207
0.273;2.255;1.219
0.248;2.126;1.170
0.243;2.052;1.200
0.297;1.878;1.237
0.344;1.690;1.200
0.334;1.617;1.161
0.361;1.562;1.201
0.470;1.351;1.199
0.540;1.215;1.198
0.574;1.143;1.263
0.673;1.019;1.211
0.761;0.913;1.194
0.845;0.824;1.201
0.942;0.738;1.200
1.039;0.658;1.203
1.140;0.584;1.198
1.248;0.517;1.202
1.363;0.456;1.201
1.477;0.405;1.202
1.596;0.358;1.197
1.718;0.321;1.200
1.839;0.292;1.202
1.960;0.271;1.199
2.093;0.255;1.202
2.217;0.251;1.198
2.345;0.252;1.196
2.476;0.261;1.203
2.599;0.280;1.201
2.720;0.305;1.198
2.842;0.340;1.195
2.966;0.381;1.200
3.083;0.430;1.203
3.195;0.484;1.202
3.303;0.550;1.197
3.408;0.620;1.199
3.512;0.697;1.203
3.607;0.782;1.200
3.697;0.869;1.201
3.782;0.962;1.201
3.861;1.064;1.197
3.933;1.166;1.197
4.000;1.277;1.203
4.058;1.390;1.200
4.107;1.507;1.195
4.148;1.625;1.193
4.186;1.747;1.196
4.215;1.874;1.200
4.235;1.999;1.204
4.244;2.122;1.193
4.251;2.249;1.202
