X;Y;Z
0.500;0.501;1.200
0.530;0.534;1.201
0.572;0.570;1.198
0.605;0.606;1.201
0.641;0.641;1.205
0.677;0.678;1.198
0.711;0.713;1.199
0.746;0.747;1.203
0.783;0.783;1.200
0.818;0.816;1.198
0.854;0.857;1.200
0.889;0.889;1.200
0.924;0.921;1.203
0.960;0.959;1.204
0.998;0.994;1.203
1.032;1.030;1.202
1.066;1.068;1.199
1.101;1.099;1.202
1.135;1.137;1.199
1.173;1.173;1.200
1.206;1.207;1.201
1.243;1.241;1.205
1.281;1.278;1.198
1.314;1.313;1.202
1.350;1.347;1.202
1.384;1.385;1.199
1.418;1.420;1.196
1.455;1.456;1.200
1.489;1.490;1.198
1.523;1.525;1.198
1.562;1.561;1.201
1.596;1.594;1.203
1.630;1.630;1.202
1.667;1.666;1.198
1.699;1.703;1.200
1.733;1.738;1.199
1.773;1.771;1.201
1.808;1.806;1.199
1.841;1.844;1.201
1.878;1.878;1.198
1.912;1.914;1.197
1.951;1.950;1.200
1.986;1.987;1.201
2.018;2.021;1.200
2.055;2.056;1.198
2.092;2.091;1.199
2.127;2.128;1.202
2.161;2.165;1.201
2.196;2.197;1.199
2.232;2.231;1.198
2.268;2.268;1.198
2.303;2.305;1.200
2.337;2.339;1.199
2.373;2.373;1.199
2.408;2.410;1.198
2.447;2.441;1.202
2.483;2.479;1.203
2.514;2.516;1.199
2.549;2.553;1.198
2.583;2.587;1.199
2.623;2.621;1.199
2.658;2.657;1.200
2.694;2.693;1.203
2.727;2.725;1.196
2.762;2.760;1.200
2.800;2.799;1.200
2.833;2.832;1.199
2.873;2.868;1.204
2.905;2.904;1.200
2.939;2.941;1.200
2.977;2.975;1.202
3.010;3.009;1.197
3.045;3.043;1.198
3.080;3.081;1.198
3.117;3.117;1.202
3.150;3.151;1.197
3.187;3.189;1.202
3.222;3.221;1.200
3.257;3.257;1.195
3.291;3.296;1.203
3.329;3.328;1.198
3.363;3.365;1.198
3.400;3.397;1.197
3.433;3.435;1.201
3.470;3.468;1.199
3.504;3.505;1.198
3.540;3.541;1.203
3.577;3.574;1.198
3.613;3.613;1.203
3.647;3.648;1.202
3.682;3.683;1.200
3.716;3.715;1.196
3.753;3.751;1.195
3.787;3.786;1.196
3.824;3.823;1.199
3.860;3.859;1.201
3.896;3.894;1.202
3.928;3.928;1.201
3.965;3.964;1.199
3.999;4.001;1.196
