X;Y;Z
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.250;2.250;1.200
4.246;2.377;1.200
4.234;2.503;1.200
4.214;2.629;1.200
4.186;2.752;1.200
4.150;2.874;1.200
4.107;2.993;1.200
4.056;3.110;1.200
3.998;3.222;1.200
3.933;3.331;1.200
3.861;3.436;1.200
3.782;3.536;1.200
3.697;3.630;1.200
3.607;3.719;1.200
3.511;3.802;1.200
3.410;3.879;1.200
3.304;3.949;1.200
3.195;4.013;1.200
3.081;4.069;1.200
2.964;4.118;1.200
2.844;4.160;1.200
2.722;4.194;1.200
2.597;4.220;1.200
2.472;4.238;1.200
2.345;4.248;1.200
2.218;4.250;1.200
2.092;4.244;1.200
1.965;4.230;1.200
1.840;4.208;1.200
1.717;4.178;1.200
1.596;4.140;1.200
1.477;4.095;1.200
1.362;4.042;1.200
1.250;3.982;1.200
1.142;3.915;1.200
1.039;3.842;1.200
0.940;3.761;1.200
0.847;3.675;1.200
0.759;3.584;1.200
0.678;3.486;1.200
0.603;3.384;1.200
0.534;3.277;1.200
0.472;3.166;1.200
0.418;3.052;1.200
0.371;2.934;1.200
0.331;2.813;1.200
0.299;2.691;1.200
0.275;2.566;1.200
0.259;2.440;1.200
0.251;2.313;1.200
0.251;2.187;1.200
0.259;2.060;1.200
0.275;1.934;1.200
0.299;1.809;1.200
0.331;1.687;1.200
0.371;1.566;1.200
0.418;1.448;1.200
0.472;1.334;1.200
0.534;1.223;1.200
0.603;1.116;1.200
0.678;1.014;1.200
0.759;0.916;1.200
0.847;0.825;1.200
0.940;0.739;1.200
1.039;0.658;1.200
1.142;0.585;1.200
1.250;0.518;1.200
1.362;0.458;1.200
1.477;0.405;1.200
1.596;0.360;1.200
1.717;0.322;1.200
1.840;0.292;1.200
1.965;0.270;1.200
2.092;0.256;1.200
2.218;0.250;1.200
2.345;0.252;1.200
2.472;0.262;1.200
2.597;0.280;1.200
2.722;0.306;1.200
2.844;0.340;1.200
2.964;0.382;1.200
3.081;0.431;1.200
3.195;0.487;1.200
3.304;0.551;1.200
3.410;0.621;1.200
3.511;0.698;1.200
3.607;0.781;1.200
3.697;0.870;1.200
3.782;0.964;1.200
3.861;1.064;1.200
3.933;1.169;1.200
3.998;1.278;1.200
4.056;1.390;1.200
4.107;1.507;1.200
4.150;1.626;1.200
4.186;1.748;1.200
4.214;1.871;1.200
4.234;1.997;1.200
4.246;2.123;1.200
4.250;2.250;1.200
