X;Y;Z
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.000;1.000;1.150
1.063;1.125;1.718
1.126;1.245;1.790
1.186;1.357;1.693
1.242;1.456;1.541
1.293;1.537;1.369
1.338;1.597;1.204
1.375;1.633;1.067
1.405;1.643;0.975
1.426;1.625;0.939
1.438;1.579;0.964
1.440;1.507;1.050
1.431;1.412;1.189
1.413;1.298;1.361
1.384;1.171;1.546
1.346;1.036;1.722
1.298;0.900;1.868
1.241;0.766;1.960
1.176;0.642;1.989
1.106;0.530;1.949
1.029;0.436;1.842
0.949;0.363;1.677
0.866;0.316;1.473
0.782;0.298;1.252
0.699;0.312;1.035
0.620;0.357;0.841
0.546;0.435;0.686
0.480;0.543;0.584
0.424;0.679;0.544
0.378;0.840;0.569
0.344;1.021;0.659
0.323;1.217;0.811
0.314;1.420;1.019
0.319;1.624;1.273
0.337;1.821;1.560
0.367;2.004;1.862
0.409;2.166;2.156
0.463;2.300;2.419
0.527;2.400;2.628
0.601;2.462;2.764
0.683;2.483;2.816
0.773;2.463;2.773
0.868;2.402;2.634
0.968;2.305;2.405
1.069;2.177;2.101
1.171;2.025;1.743
1.272;1.855;1.361
1.370;1.675;0.979
1.463;1.495;0.624
1.549;1.323;0.316
1.627;1.168;0.062
1.695;1.035;-0.130
1.751;0.932;-0.245
1.794;0.865;-0.282
1.823;0.841;-0.246
1.837;0.865;-0.145
1.835;0.937;0.023
1.817;1.056;0.251
1.784;1.219;0.527
1.736;1.422;0.837
1.674;1.658;1.167
1.602;1.923;1.501
1.520;2.208;1.824
1.432;2.505;2.120
1.339;2.803;2.374
1.246;3.091;2.574
1.156;3.358;2.710
1.071;3.594;2.780
0.994;3.790;2.785
0.926;3.935;2.725
0.868;4.024;2.606
0.823;4.051;2.436
0.792;4.013;2.226
0.775;3.912;1.988
0.774;3.751;1.735
0.788;3.534;1.480
0.817;3.267;1.235
0.860;2.956;1.010
0.916;2.610;0.814
0.984;2.237;0.653
1.064;1.848;0.535
1.153;1.452;0.465
1.251;1.059;0.447
1.355;0.679;0.483
1.464;0.322;0.571
1.576;0.000;0.708
1.690;-0.287;0.886
1.802;-0.533;1.095
1.913;-0.730;1.323
2.019;-0.871;1.558
2.119;-0.950;1.790
2.212;-0.963;2.000
2.295;-0.907;2.178
2.367;-0.782;2.314
2.427;-0.590;2.402
2.473;-0.336;2.436
2.504;-0.026;2.414
2.520;0.335;2.336
2.519;0.741;2.206
2.501;1.186;2.031
2.467;1.662;1.818
2.417;2.159;1.578
2.353;2.665;1.321
2.274;3.171;1.057
